id,sku,name,type,gender,age,color,color_hex,powers,quantity,price,strikeout_price,tags,frame_shape,face_shape_recommendation,shade,image_urls,avg_rating,brand,material,style,description,product_url
LK-143020,VC E13400,Vincent Chase SLEEK STEEL Unisex Eyeglasses Blue Metal Rectangle,eyeglasses,unisex,adult,navy-blue,#2a326a,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,1400.0,1900.0,minimalist|progressive|adult|unisex|under_2000|blue-cut|computer|lightweight|cool|dark,rectangular,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e13400-c3-eyeglasses_G_5037.jpg,4.2,Vincent Chase,Metal,rectangular,Vincent Chase SLEEK STEEL Eyeglasses Half Rim Blue Blue Rectangle Metal VC E13400 Men Women Lenskart Half Rim Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/vincent-chase-vc-e13400-c3-eyeglasses.html?rd=n
LK-142996,VC E13393,Vincent Chase SLEEK STEEL Women Eyeglasses Gold Metal Cat Eye,eyeglasses,female,adult,red,#800020,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,1400.0,1900.0,progressive|adult|female|under_2000|lightweight|statement|bold,rectangular,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//v/i/vincent-chase-vc-e13393-c1-eyeglasses_vincent-chase-vc-e13393-c1-eyeglasses_vincent-chase-vc-e13393-c1-eyeglasses_g_9657.jpg,4.2,Vincent Chase,Metal,rectangular,Vincent Chase SLEEK STEEL Eyeglasses Half Rim Gold Gold Cat Eye Metal VC E13393-N Women Lenskart Half Rim Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/vincent-chase-vc-e13393-c1-eyeglasses.html?rd=n
LK-143282,LKJ E10036CE,Hooper Screen Glasses Lenskart Juniors Kids Zero Power Screen Glasses TR90 Rectangle,eyeglasses,unisex,kids,pink,#f7b5d1,0.0,25,500.0,1000.0,classic|zero_power|kids|unisex|under_1000|blue-cut|computer|statement,rectangular,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-junior-new-e10036ce-full-rm-recgle-tr90-c2-eyeglses_lenskart-junior-new-e10036ce-full-rm-recgle-tr90-c2-eyeglses_143282.jpeg.jpg,4.2,Hooper Screen Glasses,TR90,rectangular,Hooper Screen Glasses Lenskart Juniors Zero Power Screen Glasses Full Rim Pink Rectangle TR90 LKJ E10036CE Kids Lenskart Juniors,https://www.lenskart.com/lenskart-junior-lenskart-junior-lkj-e10036ce-full-rim-rectangle-tr90-c2-eyeglasses.html?rd=n
LK-143427,Thinoptics Brooklyn,ThinOptics Unisex Eyeglasses Black Polycarbonate Rectangle,eyeglasses,unisex,adult,black,#1a1a1a,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,1800.0,2000.0,minimalist|single_vision|adult|unisex|under_2000|dark|neutral,rectangular,oval|round|heart|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//t/h/thinoptics-brookyln-black-power-100-dup-eyeglasses_thinoptics-brookyln-black-power-100-eyeglasses_g_7135_1.jpg,4.2,ThinOptics,Polycarbonate,rectangular,ThinOptics Eyeglasses Full Rim Black Black Rectangle Polycarbonate Thinoptics Brooklyn Men Women Others Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic,https://www.lenskart.com/thinoptics-brookyln-frontpage-black-power-1-00-new-eyeglasses.html?rd=n
LK-142653,LKJ E10011AF,Hooper Online SG Hooper Kids Eyeglasses Yellow Stainless Steel Round,eyeglasses,unisex,kids,yellow,#f7c82e,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,450.0,1000.0,classic|progressive|kids|unisex|under_500|statement|bold,oval,square|heart|diamond|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-junior-lkj-e100011af-c1-eyeglasses_142653__1_.jpeg,4.2,Hooper Online,Stainless Steel,oval,Hooper Online SG Hooper Eyeglasses Full Rim Yellow Yellow Round Stainless Steel LKJ E10011AF Kids SG Hooper Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/lenskart-junior-lkj-e100011af-c1-eyeglasses.html?rd=n
LK-142690,LKJ E10011,Hooper Online Lenskart Juniors Kids Eyeglasses Yellow Stainless Steel Round,eyeglasses,unisex,kids,yellow,#f7c800,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,450.0,1000.0,classic|progressive|kids|unisex|under_500|statement|bold,oval,square|heart|diamond|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-junior-lkj-e10011-c1-eyeglasses_142690__1_.jpeg,4.2,Hooper Online,Stainless Steel,oval,Hooper Online Lenskart Juniors Eyeglasses Full Rim Yellow Yellow Round Stainless Steel LKJ E10011 Kids Lenskart Juniors Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/lenskart-junior-lkj-e10011-c1-eyeglasses.html?rd=n
LK-142655,LKJ E10011AF,Hooper Online SG Hooper Kids Eyeglasses Red Stainless Steel Round,eyeglasses,unisex,kids,red,#e63946,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,450.0,1000.0,classic|progressive|kids|unisex|under_500|statement|bold,oval,square|heart|diamond|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-junior-lkj-e100011af-c3-eyeglasses_142655__1_.jpeg,4.2,Hooper Online,Stainless Steel,oval,Hooper Online SG Hooper Eyeglasses Full Rim Red Red Round Stainless Steel LKJ E10011AF Kids SG Hooper Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/lenskart-junior-lkj-e100011af-c3-eyeglasses.html?rd=n
LK-142674,LKJ E10012CE,Lenskart Junior Computer Glasses Lenskart Juniors Kids Eyeglasses Green Stainless Steel Rectangle,eyeglasses,unisex,kids,green,#90d44b,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,500.0,1000.0,classic|single_vision|kids|unisex|under_1000|statement,oval,square|heart|diamond|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-junior-lkj-e100012ce-c2-eyeglasses_lenskart-junior-lkj-e100012ce-c2-eyeglasses_g_6610.jpeg.jpg,4.2,Lenskart Junior Computer Glasses,Stainless Steel,oval,Lenskart Junior Computer Glasses Lenskart Juniors Eyeglasses Full Rim Green Green Rectangle Stainless Steel LKJ E10012CE Kids Lenskart Juniors Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic,https://www.lenskart.com/lenskart-junior-lkj-e100012ce-c2-eyeglasses.html?rd=n
LK-142692,LKJ E10011,Hooper Online Kids Eyeglasses Red Stainless Steel Round,eyeglasses,unisex,kids,red,#e62e3a,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,450.0,1000.0,classic|progressive|kids|unisex|under_500|statement|bold,oval,square|heart|diamond|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-junior-lkj-e10011-c3-eyeglasses_142692__1_.jpeg,4.2,Hooper Online,Stainless Steel,oval,Hooper Online Eyeglasses Full Rim Red Red Round Stainless Steel LKJ E10011 Kids SG Hooper Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/lenskart-junior-lkj-e10011-c3-eyeglasses.html?rd=n
LK-142679,LKJ E10013CE,Lenskart Junior Computer Glasses Lenskart Juniors Kids Eyeglasses Pink Stainless Steel Rectangle,eyeglasses,unisex,kids,red,#d63031,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,500.0,1000.0,classic|single_vision|kids|unisex|under_1000|statement|bold,oval,square|heart|diamond|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/e/lenskart-junior-lkj-e100013ce-c3-eyeglasses_lenskart-junior-lkj-e100013ce-c3-eyeglasses_g_6585.jpeg.jpg,4.2,Lenskart Junior Computer Glasses,Stainless Steel,oval,Lenskart Junior Computer Glasses Lenskart Juniors Eyeglasses Full Rim Pink Pink Rectangle Stainless Steel LKJ E10013CE Kids Lenskart Juniors Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic,https://www.lenskart.com/lenskart-junior-lkj-e100013ce-c3-eyeglasses.html?rd=n
LK-141796,JJ E10005,John Jacobs Screen Glasses BLU COMPUTER GLASSES Unisex Zero Power Screen Glasses Italian Acetate Rectangle,eyeglasses,unisex,adult,navy-blue,#415a81,0.0,25,1600.0,4000.0,classic|zero_power|adult|unisex|under_2000|blue-cut|computer|cool|dark,rectangular,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//j/o/john-jacobs-jj-e10005-c2-dupc-eyeglasses_john-jacobs-jj-e10005-c2-eyeglasses_j_0569_1_2.jpg,4.2,John Jacobs Screen Glasses,Acetate,rectangular,John Jacobs Screen Glasses BLU COMPUTER GLASSES Zero Power Screen Glasses Full Rim Transparent Rectangle Italian Acetate JJ E10005 Men Women Others,https://www.lenskart.com/blue-transparent-full-rim-rectangle-small-size-50-john-jacobs-rich-acetate-jj-e10005-c2-eyeglasses-dup.html?rd=n
LK-200276,LB E14790,Lenskart BLU Screen Glasses Unisex Zero Power Screen Glasses TR90 Geometric,eyeglasses,unisex,adult,transparent,#e0e0e0,0.0,25,500.0,1500.0,classic|zero_power|adult|unisex|under_1000|blue-cut|computer|light,geometric,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/i/blue-block-screen-glasses:-lenskart-blu-lb-e14790-c1-eyeglasses_g_2116_03_02_2023.jpg,4.2,Lenskart BLU Screen Glasses,TR90,geometric,Lenskart BLU Screen Glasses Zero Power Screen Glasses Full Rim Transparent Geometric TR90 LB E14790 Men Women Others,https://www.lenskart.com/lenskart-blu-lb-e14790-c1-eyeglasses.html?rd=n
LK-202105,FOS 7078/G,Fossil Men Eyeglasses Black Stainless Steel Square,eyeglasses,male,adult,black,#212121,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,6000.0,6800.0,classic|progressive|adult|male|above_3000|dark|neutral,clubmaster,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//f/o/fos-fos-7078-g-rzz-eyeglasses_G_6907.jpg,4.2,Fossil,Stainless Steel,clubmaster,Fossil Eyeglasses Full Rim Black Black Square Stainless Steel FOS 7078/G Men PREMIUM Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/fos-fos-7078-g-rzz-eyeglasses-sg-dup.html?rd=n
LK-201557,LA E12852,Lenskart Air CLASSICS Unisex Eyeglasses Green TR90 Rectangle,eyeglasses,unisex,adult,blue,#4a6e6f,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,1400.0,1900.0,minimalist|progressive|adult|unisex|under_2000|cool,rectangular,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/i/green-black-full-rim-rectangle-lenskart-air-flex-la-e12852-c4-eyeglasses_g_7025_14_09_2024.jpg,4.2,Lenskart Air,TR90,rectangular,Lenskart Air CLASSICS Eyeglasses Full Rim Green Green Rectangle TR90 LA E12852 Men Women AIR Classics Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/lenskart-air-la-e12852-c4-eyeglasses.html?rd=n
LK-148823,FOS 7078/G,Fossil Men Eyeglasses Black Stainless Steel Square,eyeglasses,male,adult,black,#1a1a1a,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,6000.0,6800.0,classic|progressive|adult|male|above_3000|dark|neutral,clubmaster,oval|round|heart|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//f/o/fos-fos-7078-g-rzz-eyeglasses_G_6907.jpg,4.2,Fossil,Stainless Steel,clubmaster,Fossil Eyeglasses Full Rim Black Black Square Stainless Steel FOS 7078/G Men PREMIUM Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/fos-fos-7078-g-rzz-eyeglasses.html?rd=n
LK-201667,JJ E14995,John Jacobs Rich Acetate Unisex Eyeglasses Silver Italian Acetate Hexagonal,eyeglasses,unisex,adult,black,#000000,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,3100.0,3900.0,progressive|adult|unisex|above_3000|dark|neutral,geometric,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//j/i/john-jacobs-jj-e14995-c1-eyeglasses_g_5259_22_nov_2022.jpg,4.2,John Jacobs,Acetate,geometric,John Jacobs Rich Acetate Eyeglasses Full Rim Silver Silver Hexagonal Italian Acetate JJ E14995 Men Women Rich Acetate Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/john-jacobs-jj-e14995-c1-eyeglasses.html?rd=n
LK-149839,LR E13698,Lenskart READERS Reading Unisex Eyeglasses Transparent TR90 Rectangle,eyeglasses,unisex,aged,grey,#b0b0b0,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,450.0,500.0,classic|single_vision|aged|unisex|under_500|cool,rectangular,oval|round|heart,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//l/i/grey-transparent-full-rim-rectangle-lenskart-readers-lr-e13698-c1-d-reading-eyeglasses-(only-for--2.50-power)_g_831605_03_2022.jpg,4.2,Lenskart READERS,TR90,rectangular,Lenskart READERS Reading Eyeglasses Full Rim Transparent Transparent Rectangle TR90 LR E13698 Men Women Others Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic,https://www.lenskart.com/lenskart-reader-lr-e13698-full-rim-rectangle-c1-d-eyeglasses.html?rd=n
LK-148826,FOS 7089,Fossil Men Eyeglasses Transparent Acetate Square,eyeglasses,male,adult,transparent,#e0e0e0,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,6000.0,6800.0,classic|progressive|adult|male|above_3000|light,rectangular,oval|round|heart|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//f/o/fos-fos-7089-900-eyeglasses_G_6872.jpg,4.2,Fossil,Acetate,rectangular,Fossil Eyeglasses Full Rim Transparent Transparent Square Acetate FOS 7089 Men PREMIUM Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/fos-fos-7089-900-eyeglasses.html?rd=n
LK-148833,FOS 6091,Fossil Men Eyeglasses Transparent Acetate Square,eyeglasses,male,adult,grey,#808080,-2.0|-1.5|-1.0|-0.5|0.0|0.5|1.0,25,6000.0,6800.0,classic|progressive|adult|male|above_3000|cool,rectangular,oval|round|heart|oblong,clear,https://static5.lenskart.com/media/catalog/product/pro/1/thumbnail/480x480/9df78eab33525d08d6e5fb8d27136e95//f/o/fos-fos-6091-63m-eyeglasses_G_6617.jpg,4.2,Fossil,Acetate,rectangular,Fossil Eyeglasses Full Rim Transparent Transparent Square Acetate FOS 6091 Men PREMIUM Spectacles Frames Glasses Stylish Fashion Discounts Offer India Online Try eyeglasses 3DT Made by Robots Robotic Bifocal / Progressive,https://www.lenskart.com/fos-fos-6091-63m-eyeglasses.html?rd=n
